Name,Description,ShortCode,Type,SubType,PrimarySubTypeField,CSV,NormalModelTable,StructureOrdinalsMatter,SubVersion,GeometryType,LDSUniqueIDGroup,TemplateOf,IsSingleRecordTable,ScenarioMode,AssetNetworkTableClass
wn_ctl_node_f_wq_profile,Node Source Profile,,F,,,0,F,T,1809,,,,F,,
wn_ctl_node_f_wq_source,Node Source Data,,F,,,0,F,T,1809,,,,F,,
wn_ctl_node_iwts_event,Node Surge Demand Event,,F,,,0,F,T,0,,,,F,,
wn_ctl_node_iwts_tank_depth_area,SPD Tank Depth Area,,F,,,0,F,T,759,,,,F,,
wn_ctl_node_wq_age,WQ Age,,F,,,0,F,T,0,,,,F,,
wn_ctl_node_wq_conc,Water Quality,,F,,,0,F,T,36,,,,F,,
wn_ctl_node_wq_conc_7_5,Water Quality,,F,,,0,F,T,373,,,,F,,
wn_ctl_node_wq_flow,Water Quality Mass Flow,,F,,,0,F,T,215,,,,F,,
wn_ctl_node_wq_flow_7_5,Water Quality Mass Flow,,F,,,0,F,T,373,,,,F,,
wn_ctl_node_wq_turb,Water Quality Turbidity,,F,,,0,F,T,1006,,,,F,,
wn_ctl_node_xd_flow,Exceptional Flow,,F,,,0,F,T,28,,,,F,,
wn_ctl_node_xd_flow_7_5,Exceptional Flow,,F,,,0,F,T,373,,,,F,,
wn_ctl_non_return_valve,Non Return Valve,,V,ctl,,1,F,F,0,,,,F,1,
wn_ctl_open_channel,Open Channel,,V,ctl,,1,F,F,1135,,,,F,1,
wn_ctl_opening_profile,Opening Profile,,F,,,0,F,T,36,,,,F,,
wn_ctl_opening_profile_7_5,Opening Profile,,F,,,0,F,T,373,,,,F,,
wn_ctl_pipe,Pipe,,V,ctl,,1,F,F,0,,,,F,1,
wn_ctl_pipe_f_wq_constant,Pipe Constant Data,,F,,,0,F,T,1808,,,,F,,
wn_ctl_pipe_f_wq_solute,Pipe Solute Data,,F,,,0,F,T,1808,,,,F,,
wn_ctl_pipe_status,Pipe Status,,F,,,0,F,T,34,,,,F,,
wn_ctl_pipe_status_7_5,Pipe Status,,F,,,0,F,T,373,,,,F,,
wn_ctl_profile,Control Profile,,V,ctl,,1,F,F,299,,,,F,1,
wn_ctl_profile_data,Control Profile Data,,F,,,0,T,T,304,,,,F,,
wn_ctl_profile_data_7_5,Control Profile Data,,F,,,0,T,T,373,,,,F,,
wn_ctl_pst,Pump Station,,V,ctl,,1,F,F,0,,,,F,1,
wn_ctl_pst_profiles,Profiles,,F,,,0,F,T,0,,,,F,,
wn_ctl_pst_profiles_7_5,Profiles,,F,,,0,F,T,373,,,,F,,
wn_ctl_pst_pumps,Pumps,,F,,,0,F,T,0,,,,F,,
wn_ctl_pst_pumps_14_0,Pumps,,F,,,0,F,T,0,,,,F,,
wn_ctl_pst_pumps_7_5,Pumps,,F,,,0,F,T,373,,,,F,,
wn_ctl_pst_turbine_change,Turbine Change,,F,,,0,F,T,776,,,,F,,
wn_ctl_pst_wicket_gate_change,Wicket Gate Change,,F,,,0,F,T,776,,,,F,,
wn_ctl_pump_iwts_event,Pump Surge Event,,F,,,0,T,T,0,,,,F,,
wn_ctl_reservoir,Reservoir,,V,ctl,,1,F,F,0,,,,F,1,
wn_ctl_reservoir_f_wq_constant,Reservoir Constant Data,,F,,,0,F,T,1809,,,,F,,
wn_ctl_run,Run,,V,ctl,,1,F,F,0,,,,T,1,
wn_ctl_scenario,Scenario,,V,ctl,,0,F,F,1920,,,,F,2,
wn_ctl_transfer_node,Transfer Node,,V,ctl,,1,F,F,0,,,,F,1,
wn_ctl_transfer_node_flows,Flows,,F,,,0,F,T,0,,,,F,,
wn_ctl_transfer_node_flows_7_5,Flows,,F,,,0,F,T,373,,,,F,,
wn_ctl_valve,Valve,,V,ctl,,1,F,F,0,,,,F,1,
wn_ctl_valve_iwts_event,Valve Surge Event,,F,,,0,T,T,0,,,,F,,
wn_ctl_valve_profiles,Profiles,,F,,,0,F,T,0,,,,F,,
wn_ctl_valve_profiles_7_5,Profiles,,F,,,0,F,T,373,,,,F,,
wn_ctl_well,Well,,V,ctl,,1,F,F,168,,,,F,1,
wn_customer_point_references,Customer Point References,,F,,,0,F,T,18,,,,F,,
wn_demand_area,Demand Area,,V,wn,,0,F,F,99,,,,F,1,
wn_demand_profile,Demand Profile,,F,,,0,F,T,0,,,,F,,
wn_demand_triplet,Demand Triplet,,F,,,0,F,T,0,,,,F,,
wn_DigitiseValues,DigitizeValues,,V,wn,,0,F,F,81,,,,F,1,
wn_dsc_field_area,DemScaleAreas,,F,,,0,F,T,0,,,,F,,
wn_dsc_field_demand_factor,DemScaleFactors,,F,,,0,F,T,0,,,,F,,
wn_dsc_tv_factor,DemScaleTVFactors,,F,,,0,F,T,0,,,,F,,
wn_f_validated_with_control,Validated With Control,,F,,,0,F,T,0,,,,F,,
wn_fixed_head,Fixed Head,,V,wn,,1,F,F,0,Point,,,F,1,
wn_float_valve,Float Valve/Inlet,,V,wn,,1,F,F,0,Polyline,,,F,1,
wn_gmr_aggregation_commands,GMRAggregation,,F,,,0,F,T,1084,,,,F,,
wn_gmr_finalaggreg_commands,GMRFinalAggregationCmd,,F,,,0,F,T,1087,,,,F,,
wn_hydrant,Hydrant,,V,wn,,1,F,F,90,Point,,,F,1,
wn_incident_report,Spatial Data,,V,wn,,1,F,F,19,Point,,,F,1,
wn_landuse,Land Use,,V,wn,,1,F,F,357,,,,F,1,
wn_live_data_composite,Live Data Composite Feed,,V,ld,,1,F,F,1096,,,,F,,
wn_live_data_export,Live Data Export,,V,ld,,1,F,F,881,,,,F,,
wn_live_data_export_mapping,Export Mapping,,F,,,0,F,T,0,,,,F,,
wn_live_data_feed,Live Data Feed,,V,ld,,1,F,F,601,,,,F,,
wn_live_data_logon,Live Data Logon,,V,ld,,1,F,F,601,,,,F,,
wn_live_data_lookup,Live Data Lookup,,V,ld,,1,F,F,813,,,,F,,
wn_live_data_lookup_2,Live Data Lookup,,V,ld,,1,F,F,1016,,,,F,,
wn_live_data_lookup_range,Range Lookup,,F,,,0,F,T,0,,,,F,,
wn_live_data_lookup_scalar,Scalar Lookup,,F,,,0,F,T,0,,,,F,,
wn_live_data_object,Live Data Object,,F,,,0,F,T,0,,,,F,,
wn_live_data_object_7_5,Live Data Object,,F,,,0,F,T,373,,,,F,,
wn_live_data_point,Live Data Point,,V,ld,,1,F,F,65,,,,F,,
wn_live_data_point_info,Live Data Point Information,,F,,,0,F,T,0,,,,F,,
wn_live_data_prefs,Live Data Preferences,,W,ld,,0,F,F,0,,,,F,,
wn_live_data_validation_result,Validation result,,V,ld,,0,F,F,1606,,,,T,,
wn_lu_fake_blob,LU Fake Blob,,F,,,0,F,T,361,,,,F,,
wn_meter,Meter,,V,wn,,1,F,F,41,Polyline,,,F,1,
wn_meter_construction,Meter Construction,,V,wn,,0,F,F,76,,,,F,1,
wn_node,Node,,V,wn,,1,F,F,0,Point,,,F,1,
wn_node_demand_by_category,Demand By Category,,F,,,0,F,T,0,,,,F,,
wn_node_demand_by_category_7_5,Demand By Category,,F,,,0,F,T,373,,,,F,,
wn_node_group_nodes,Node Group Nodes,,F,,,0,F,T,1158,,,,F,,
wn_node_landuse_areas,Land Use Areas,,F,,,0,F,T,361,,,,F,,
wn_non_return_valve,Non Return Valve,,V,wn,,1,F,F,0,Polyline,,,F,1,
wn_open_channel,Open Channel,,V,wn,,1,F,F,1134,Polyline,,,F,1,
wn_pipe,Pipe,,V,wn,,1,F,F,0,Polyline,,,F,1,
wn_pipe_links,Pipe Links,,F,,,0,F,T,351,,,,F,,
wn_pipe_links_7_5,Pipe Links,,F,,,0,F,T,373,,,,F,,
wn_pipe_material,Pipe Material,,V,wn,,3,F,F,42,,,,F,1,
wn_pm_area_supplies,PMA Supplies,,F,,,0,F,T,111,,,,F,,
wn_pm_area_supplies_7_5,PMA Supplies,,F,,,0,F,T,373,,,,F,,
wn_pm_areas,PMAs,,F,,,0,F,T,100,,,,F,,
wn_pm_areas_7_5,PMAs,,F,,,0,F,T,373,,,,F,,
wn_polygon,Polygons,,V,wn,,1,F,F,14,Polygon,,,F,1,
wn_polygon_node,Node Polygons,,V,wn,,1,F,F,355,Polygon,,,F,1,
wn_prd_curve,PRD Curve,,V,wn,,1,F,F,205,,,,F,1,
wn_prd_values,PRD Relationship Values,,F,,,0,F,T,205,,,,F,,
wn_prd_values_7_5,PRD Relationship Values,,F,,,0,F,T,373,,,,F,,
wn_prefs,Network Preferences,,W,wn,,0,F,F,0,,,,F,0,
wn_prunes,Pruned Link,,V,wn,,0,F,F,0,PolyPolyLine,,,F,1,
wn_pst,Pump Station,,V,wn,,1,F,F,0,Polyline,,,F,1,
wn_pst_pumps,Pumps,,F,,,0,F,T,0,,,,F,,
wn_pst_pumps_7_5,Pumps,,F,,,0,F,T,373,,,,F,,
wn_pst_turbine_change,Turbine Change,,F,,,0,F,T,774,,,,F,,
wn_pst_wicket_gate_change,Wicket Gate Change,,F,,,0,F,T,774,,,,F,,
wn_pump,Pump,,V,wn,,1,F,F,0,,,,F,1,
wn_pump_links,Pump Links,,F,,,0,F,T,351,,,,F,,
wn_pump_links_7_5,Pump Links,,F,,,0,F,T,373,,,,F,,
wn_pump_triplets,Triplets,,F,,,0,F,T,0,,,,F,,
wn_pump_triplets_7_5,Triplets,,F,,,0,F,T,373,,,,F,,
wn_res_nodes,Res Nodes,,F,,,0,F,T,351,,,,F,,
wn_res_nodes_7_5,Res Nodes,,F,,,0,F,T,373,,,,F,,
wn_reservoir,Reservoir,,V,wn,,1,F,F,0,Point,,,F,1,
wn_reservoir_depth_volume,Depth Volume,,F,,,0,F,T,0,,,,F,,
wn_reservoir_depth_volume_7_5,Depth Volume,,F,,,0,F,T,373,,,,F,,
wn_run_gmrfinalaggregation,GMRFinalAggregation,,F,,,0,F,T,1087,,,,F,,
wn_run_gmroptions,GMROptions,,F,,,0,F,T,1084,,,,F,,
wn_run_shc_timestamps,System Head Curve Timestamps,,F,,,0,F,T,0,,,,F,,
wn_run_turbidity,Run Turbidity,,F,,,0,F,T,1011,,,,F,,
wn_scenario,Scenario,,V,wn,,0,F,F,1920,,,,F,2,
wn_sd_fake_blob,SD Fake Blob,,F,,,0,F,T,0,,,,F,,
wn_seed_nodes,Seed Nodes,,F,,,0,F,T,104,,,,F,,
wn_seed_nodes_7_5,Seed Nodes,,F,,,0,F,T,373,,,,F,,
wn_solute_data,Solute Data,,F,,,0,F,T,210,,,,F,,
wn_spatial_data_references,Spatial Data References,,F,,,0,F,T,18,,,,F,,
wn_target_points,Target Points,,F,,,0,F,T,99,,,,F,,
wn_target_points_7_5,Target Points,,F,,,0,F,T,373,,,,F,,
wn_transfer_node,Transfer Node,,V,wn,,1,F,F,0,Point,,,F,1,
wn_validation_result,Validation result,,V,wn,,0,F,F,1602,,,,T,3,
wn_valve,Valve,,V,wn,,1,F,F,0,Polyline,,,F,1,
wn_valve_curve,Valve Curve,,V,wn,,1,F,F,74,,,,F,1,
wn_valve_loss_coefficients,Valve Loss Coefficients,,F,,,0,F,T,73,,,,F,,
wn_valve_loss_coefficients_7_5,Valve Loss Coefficients,,F,,,0,F,T,373,,,,F,,
wn_well,Well,,V,wn,,1,F,F,168,Point,,,F,1,
wn_wq_f_constant,Constant Data,,F,,,0,F,T,1807,,,,F,,
wn_wq_f_solute,Solute Data,,F,,,0,F,T,1807,,,,F,,
wn_zone,Zone,,V,ld,,1,F,F,0,,,,F,,
wnt_address_point,Customer Point,,V,wnt,,1,F,F,295,,,wn_address_point,F,,
wnt_fixed_head,Fixed Head,,V,wnt,,1,F,F,295,,,wn_fixed_head,F,,
wnt_float_valve,Float Valve/Inlet,,V,wnt,,1,F,F,295,,,wn_float_valve,F,,
wnt_hydrant,Hydrant,,V,wnt,,1,F,F,295,,,wn_hydrant,F,,
wnt_incident_report,Spatial Data,,V,wnt,,1,F,F,295,,,wn_incident_report,F,,
wnt_landuse,Land Use,,V,wnt,,1,F,F,357,,,wn_landuse,F,,
wnt_meter,Meter,,V,wnt,,1,F,F,295,,,wn_meter,F,,
wnt_node,Node,,V,wnt,,1,F,F,290,,,wn_node,F,,
wnt_non_return_valve,Non Return Valve,,V,wnt,,1,F,F,295,,,wn_non_return_valve,F,,
wnt_pipe,Pipe,,V,wnt,,1,F,F,295,,,wn_pipe,F,,
wnt_polygon,Polygons,,V,wnt,,1,F,F,295,,,wn_polygon,F,,
wnt_polygon_node,Node Polygons,,V,wnt,,1,F,F,356,,,wn_polygon_node,F,,
wnt_pst,Pump Station,,V,wnt,,1,F,F,295,,,wn_pst,F,,
wnt_reservoir,Reservoir,,V,wnt,,1,F,F,295,,,wn_reservoir,F,,
wnt_transfer_node,Transfer Node,,V,wnt,,1,F,F,295,,,wn_transfer_node,F,,
wnt_valve,Valve,,V,wnt,,1,F,F,295,,,wn_valve,F,,
wnt_well,Well,,V,wnt,,1,F,F,295,,,wn_well,F,,
Workspace,Workspace,WKSP,M,,,0,T,F,172,,,,F,,
Workspace Group,Workspace Group,WKSPG,M,,,0,T,F,172,,,,F,,
Zone Explorer,Zone Explorer,ZONEEX,M,,,0,T,F,917,,,,F,,
Zone Preferences,Zone Preferences,,M,,,0,F,F,967,,,,F,,
